('OE.', 'OE.', 'F.', 'L.')
('AS.', 'F.', 'AS.', 'F.')
('L.', 'AS.', 'L.', 'OF.')
('L.', 'OE.', 'OE.', 'F.')
('OE.', 'F.', 'OE.', 'OE.')
('L.', 'AS.', 'L.', 'AS.')
('OE.', 'OF.', 'AS.', 'AS.')
('F.', 'L.', 'L.', 'L.')
('AS.', 'L.', 'AS.', 'L.')
('OE.', 'F.', 'L.', 'AS.')
('OE.', 'OF.', 'F.', 'AS.')
('L.', 'L.', 'L.', 'L.')
('AS.', 'OE.', 'OE.', 'F.')
('AS.', 'F.', 'AS.', 'L.')
('F.', 'AS.', 'F.', 'AS.')
('OE.', 'OF.', 'OE.', 'L.')
('L.', 'L.', 'F.', 'AS.')
('AS.', 'NL.', 'AS.', 'AS.')
('OF.', 'OE.', 'L.', 'L.')
('AS.', 'L.', 'OF.', 'OE.')
('OE.', 'F.', 'OE.', 'L.')
('AS.', 'L.', 'OE.', 'F.')
('F.', 'AS.', 'OE.', 'L.')
('F.', 'AS.', 'L.', 'AS.')
('L.', 'OE.', 'F.', 'AS.')
('OE.', 'L.', 'AS.', 'F.')
('OE.', 'AS.', 'F.', 'AS.')
('F.', 'OE.', 'AS.', 'OE.')
('AS.', 'AS.', 'F.', 'F.')
('L.', 'F.', 'AS.', 'F.')
('AS.', 'L.', 'AS.', 'F.')
('OF.', 'F.', 'AS.', 'L.')
('F.', 'OE.', 'F.', 'OE.')
('OE.', 'OE.', 'OE.', 'OF.')
('NL.', 'AS.', 'AS.', 'AS.')
('AS.', 'OE.', 'OF.', 'F.')
('L.', 'AS.', 'F.', 'AS.')
('F.', 'AS.', 'F.', 'L.')
('OE.', 'L.', 'L.', 'AS.')
('OE.', 'OF.', 'AS.', 'F.')
('OE.', 'L.', 'AS.', 'OF.')
('L.', 'L.', 'F.', 'F.')
('OF.', 'OE.', 'AS.', 'OF.')
('L.', 'L.', 'L.', 'F.')
('F.', 'AS.', 'F.', 'OE.')
('L.', 'F.', 'AS.', 'AS.')
('OF.', 'OE.', 'AS.', 'OE.')
('OF.', 'L.', 'OF.', 'OE.')
('OE.', 'F.', 'F.', 'AS.')
('F.', 'L.', 'L.', 'OE.')
('F.', 'OE.', 'OE.', 'AS.')
('OF.', 'AS.', 'OF.', 'OE.')
('F.', 'F.', 'AS.', 'F.')
('OF.', 'OE.', 'AS.', 'AS.')
('F.', 'F.', 'L.', 'L.')
('F.', 'F.', 'AS.', 'OE.')
('OE.', 'OF.', 'AS.', 'OF.')
('F.', 'AS.', 'AS.', 'AS.')
