, (L
ACERBITY, F
ACERIC, L
ACEROSE, (a) L
ACEROUS, Gr
ACERVAL, L
ACERVATE, L
ACERVATION, L
ACESCENCE; ACESCENCY, Cf
ACESCENT, L
ACETABULIFERA, NL
ACETABULIFEROUS, L
ACETABULIFORM, L
ACETABULUM, L
ACETAL, Acetic + alcohol
ACETAMIDE, Acetyl + amide
ACETANILIDE, Acetyl + anilide
ACETARIOUS, L
ACETARY, L
ACETATE, L
ACETIC, L
A*cet"i*fy, v. t. [imp. & p. p. Acetified; p. pr. & vb. n., L
ACETIMETER, L
ACETONE, See Acetic
ACETOSITY, LL
ACETOUS, L
ACETYL, L
ACH; ACHE, F
ACHAEAN; ACHAIAN, L
ACHARNEMENT, F
ACHATE, F
ACHATINA, NL
ACHATOUR, See Cater
ACHE, OE
ACHE, OE
ACHENE; ACHENIUM, Gr
ACHERON, L
ACHIEVANCE, Cf
A*chieve", v. t. [imp. & p. p. Achieved; p. pr. & vb. n. Achieving.], OE
ACHIEVEMENT, Cf
ACHILLES' TENDON, L
ACHILOUS, Gr
ACHIOTE, Sp
ACHLAMYDATE, Gr
ACHOLIA, NL
ACHROMATIC, Gr
ACHROMATISM, Cf
ACHROMATIZATION, Cf
A*chro"ma*tize, v. t. [imp. & p. p. Achromatized; p. pr. & vb. n., Gr
ACHROMATOPSY, Gr
ACHROODEXTRIN; ACHROOEDEXTRIN, Gr
ACHROOUS, Gr
ACHYLOUS, Gr
ACHYMOUS, Gr
ACICULA, L
ACICULIFORM, L
ACID, L
ACIDIFEROUS, L
ACIDIFICATION, Cf
A*cid"i*fy, v. t. [imp. & p. p. Acidified; p. pr. & vb. n., L
ACIDIMETER, L
ACIDIMETRY, L
ACIDITY, L
A*cid"u*late, v. t. [imp. & p. p. Acidulated; p. pr. & vb. n., Cf
ACIDULOUS, L
ACIERAGE, F
ACIFORM, L
ACINACEOUS, L
ACINACES, L
ACINACIFORM, L
ACINETAE, NL
ACINETIFORM, Acinetæ + -form
ACINIFORM, L
ACINOSE; ACINOUS, L
ACINUS, L
ACIPENSER, L
ACIURGY, Gr
ACKNOW, Pref
Ac*knowl"edge, v. t. [imp. & p. p. Acknowledged; p. pr. & vb. n., Prob
ACLINIC, Gr
ACME, Gr
ACNE, NL
ACNODE, L
ACOCK, Pref
ACOCKBILL, Prefix a- + cock + bill: with bills cocked
ACOLD, Prob
ACOLOGY, Gr
ACOLYCTINE, From the name of the plant
ACOLYTE, LL
ACONDDYLOSE; ACONDYLOUS, Gr
ACONITE, L
ACONITUM, L
ACONTIA, NL
ACONTIAS, NL
ACOPIC, Gr
ACORN, AS
ACOSMISM, Gr
ACOSMIST, See Acosmism
ACOTYLEDON, Gr
ACOUCHY, F
