, (L
KNUCKLE, OE
KNUFF, Cf
KNUR, See Knurl
KNURL, See Knar, Gnar
KNURLY, See Knur,
KOBELLITE, From Franz von Kobell, of Munich
KOBOLD, G
KOEL, Native name in India
KOFF, D
KOHINOOR; KOHNUR, Per
KOHL, See Alcohol
KOHL-RABI, G
KOMENIC, Prob
KOPECK, Russ
KORAN, Ar
KORRIGUM, Native name
KOTOW, Chinese, knock head
KOULAN, Native name
KOUMISS, Russ
KRAAL, D
KRAIT, Native name
KRAKEN, Prob
KRAMERIA, NL
KRANG, Cf
KREMLIN, Russ
KREUTZER, G
KRIEGSSPIEL, G
KRISHNA, Skr
KRITARCHY, Gr
KRONE, Dan
KRUMMHORN; KRUMHORN, G
KSHATRIYA; KSHATRUYA, Skr
KUDOS, NL
KUKANG, Native name
KUMMEL, G
KUMQUAT, Chin
KUPFERNICKEL, G
KURSAAL, G
KUSKUS, Per
Ky"an*ize, v. t. [imp. & p. p. Kyanized; p. pr. & vb. n. Kyanizing.], From Mr
KYANOL, See Cyanite
KYKE, See 1st Kike
KYMOGRAPH, Gr
KYNURENIC, Gr
KYRIE ELEISON, Gr
KYRIELLE, Cf
KYRIOLEXY; KYRIOLOGY, Gr
KYRIOLOGICAL, See Curiologic
Kythe, Kithe, v. t. [imp. Kydde, Kidde (kîd"de); p. p. Kythed, Kid;, OE
KYTOMITON, NL
KYTOPLASMA, NL
LA, Cf
LAB, Cf
LABARRAQUE'S SOLUTION, From Labarraque, a Parisian
LABARUM, L
LABEFACTION, See Labefy
LABEFY, L
LABEL, OF
LABELLUM, L
LABENT, L
LABIAL, LL
LABIATE, NL
LABIATIFLORAL; LABIATIFLORAL, Labiate + L
LABIDOMETER, Gr
LABILE, L
LABIMETER, Cf
LABIODENTAL, Labium + dental
LABIONASAL, Labium + nasal
LABIOSE, From Labium
LABIPALPUS, NL
LABIUM, L
LABOR, OE
, Sp
LABOR, 
LABOR, F
LABORANT, L
LABORATORY, Shortened fr
LABORER, Written also labourer
LABORIOUS, L
LABRAS, L
LABROID, Labrus + -oid
LABROSE, L
LABRUM, L
LABRUS, L
LABURNUM, L
LABYRINTH, L
LABYRINTHIBRANCH, See Labyrinth, and Branchia
LABYRINTHIC; LABYRINTHICAL, L
LABYRINTHICI, NL
LABYRINTHIFORM, Labyrinth + -form: cf
LABYRINTHODON, Gr
LABYRINTHODONTA, NL
LAC; LAKH, Hind
LAC, Per
LACCIC, Cf
LACCIN, Cf
LACCOLITE; LACCOLITH, Gr
LACE, OE
LACEDAEMONIAN, L
LACERABLE, 
Lac"er*ate, v. t. [imp. & p. p. Lacerated; p. pr. & vb. n. Lacerating, L
LACERATE; LACERATED, L
LACERATION, L
LACERT, OE
LACERTA, L
LACERTA, L
LACERTIAN, Cf
LACERTILIA, NL
LACERTILOID, Lacertilia + -oid
LACERTUS, L
LACHES; LACHE, OF
LACHRYMABLE, L
LACHRYMAE CHRISTI, L
LACHRYMAL, Cf
LACHRYMATION, L
LACHRYMATORY, Cf
LACHRYMIFORM, L
LACHRYMOSE, L
LACINIA, L
LACINIATE; LACINIATED, See Lacinia
LACINIOLATE, See Lacinia
LACINULA, NL
LACK, OE
LACK, Cf
LACKADAISICAL, From Lackadaisy, interj
LACKADAISY, From Lackaday, interj
LACKADAY, Abbreviated from alackaday
LACKEY, F
LACONIC; LACONICAL, L
LACONISM, Gr
Lac"o*nize, v. i. [imp. & p. p. Laconized; p. pr. & vb. n., Gr
LACQUER, F
LACRIMOSO, It
LACROSSE, F
LACTAGE, L
LACTAM, Lactone + amido
LACTAMIDE, Lactic + amide
LACTANT, L
LACTARENE, L
LACTARY, l
LACTATE, L
LACTEAL, L
LACTEAN, See Lacteal
LACTEOUS, See Lacteal
LACTESCENCE, Cf
LACTESCENT, L
LACTIC, L
LACTIDE, Lactic + anhydride
LACTIFEROUS, l
LACTIFIC; LACTIFICAL, L
LACTIFUGE, L
LACTIM, Lactic + imido
LACTIMIDE, Lactic + imide
LACTIN, L
LACTOABUMIN, L
LACTOBUTYROMETER, L
LACTODENSIMETER, L
LACTOMETER, L
LACTONIC, From Lactone
LACTONIC, From Lactose
LACTOPROTEIN, L
LACTOSCOPE, L
LACTUCA, L
LACTUCARIUM, NL
LACTUCIN, From Lactuca: cf
LACTUCONE, From Lactuca
LACTURAMIC, Lactic + urea + amic
LACTYL, Lactic + -yl
LACUNA, L
LACUNAR, L
LACUNE, F
LACUNOSE; LACUNOUS, L
LACUSTRAL; LACUSTRINE, L
LAD, OE
LADANUM, L
LADDER, OE
Lade, v. t. [imp. Laded; p. p. Laded, Laded (; p. pr. & vb. n., AS
LADE, See Lade, v
LADE, Prov
LADIFY, Lady + -fy
LADIN, From L
LADINO, Sp
LADLE, AS
LADRONE, Sp
LADY, OE
LADYBIRD, Equiv
LADYKIN, Lady + -kin
LAELAPS, NL
LAEMODIPODA, NL
LAEVIGATE, See Levigate
LAG, Of Celtic origin: cf
LAGARTO, See Alligator
LAGENA, L
LAGENIAN, See Lagena
LAGENIFORM, See Lagena, and -form
LAGER BEER, G
LAGGARD, Lag + -ard
LAGOMORPHA, NL
LAGOON, It
LAGOPHTHALMIA; LAGOPHTHALMOS, NL
LAGOPOUS, Gr
LAIC; LAICAL, L
LAIR, OE
LAIRD, See Lord
LAISSEZ FAIRE, F
LAITY, See Lay, a
LAKE, F
LAKE, Cf
LAKE, AS
LAKE, AS
LAKY, From Lake the pigment
LALLATION, L
LAM, 
LAMA, Thibet
Defn: In Thibet, Mongolia, etc., a priest or monk of the belief, lit
LAMANTIN, F
LAMARCKISM, From Lamarck, a distinguished French
LAMASERY, See 2d Lama
LAMB, AS
LAMBASTE, Lam + baste to beat
LAMBATIVE, L
LAMBDA, NL
LAMBDACISM, L
LAMBDOID, Gr
LAMBENT, L
LAMBERT PINE, So called from Lambert, an English botanist
LAMBOYS, Cf
LAMBREQUIN, F
LAME, OE
LAMELLA, L
LAMELLAR; LAMELLARLY, Cf
LAMELLATE; LAMELLATED, See Lamella
LAMELLIBRANCHIA; LAMELLIBRANCHIATA, NL
LAMELLICORN, Lamella + L
LAMELLICORNIA, NL
LAMELLIFEROUS, Lamella + -ferous: cf
LAMELLIFORM, Lamella + -form : cf
LAMELLIROSTRAL, Lamella + rostral : cf
LAMELLIROSTRES, NL
LAMELLOSE, Cf
LAMELY, See Lame
LAMENT, F
LAMENT, L
LAMENTABLE, L
LAMENTATION, F
LAMES, F
LAMETTA, Cf
LAMIA, L
LAMINAR; LAMINAL, Cf
LAMINARIA, NL
LAMINARITE, See Lamina
LAMINATE, See Lamina
Lam"i*nate, v. t. [imp. & p. p. Laminated; p. pr. & vb. n., See Lamina
LAMINIFEROUS, Lamina + -ferous
LAMINIPLANTAR, Lamina + L
LAMINITIS, NL
LAMMAS, AS
LAMMERGEIR; LAMMERGEIER, G
LAMNUNGUIA, NL
LAMP, OE
LAMP, F
LAMPAD, Gr
LAMPADIST, Gr
LAMPADROME, Gr
LAMPAS, F
LAMPATE, Cf
LAMPBLACK, Lamp + black
LAMPERN, See Lamprey
LAMPIC, F
LAMPOON, F
LAMPREY, OE
LAMPRON, Cf
LAMPYRINE, See Lampyris
LAMPYRIS, L
LANARKITE, From Lanarkshire, a county in Scotland
LANARY, L
LANATE; LANATED, L
LANCE, OE
LANCEGAY; LANCEGAYE, OF
LANCELET, Lance + -let
LANCEOLAR, L
LANCEOLATE; LANCEOLATED, L
LANCEPESADE, F
LANCER, Cf
LANCET, F
LANCIFEROUS, Lance + -ferous
LANCIFORM, Lance + -form: cf
Lan"ci*nate, v. t. [imp. & p. p. Lancinated; p. pr. & vb. n., L
LAND, AS
LANDAMMAN, G
LANDAU, From the town Ladau in Germany; cf
LANDAULET, Cf
LANDGRAVE, G
LANDGRAVIATE, Cf
LANDGRAVINE, G
LANDLADY, Cf
LANDLORD, See Land, and Lord
LANDLOUPER, D
LANDLUBBER, Prop
LANDMARK, AS
LANDREEVE, Land + reeve an officer
LANDSCAPE, D
LANDSKIP, See Landscape
LANDSTREIGHT, See Strait
LANDSTURM, G
LANDTAG, G
LANDWEHR, G
LANE, See Lone
LANE, OE
LANGSYNE, Scot
LANGTERALOO, See Loo
LANGUAGE, OE
LANGUED, F
LANGUE D'OC, F
LANGUE D'OIL, F
LANGUENTE, It
LANGUET, F
LANGUID, L
Lan"guish, v. i. [imp. & p. p. Languished; p. pr. & vb. n., OE
LANGUOR, OE
LANGUOROUS, From Languor: cf
LANGYA, Native name Anglicized
LANIARIFORM, Laniary + -form
LANIARY, L
LANIARY, L
LANIATE, L
LANIATION, L
LANIER, F
LANIFEROUS, L
LANIFICAL, L
LANIFICE, L
LANIGEROUS, L
LANIOID, NL
LANK, AS
LANNER; LANNERET, F
LANOLIN, L
LANSQUENET, F
LANT, Cf
LANTANURIC, Formed by transposition of the letters of
LANTERN, F
Lan"tern, v. t. [imp. & p. p. Lanterned; p. pr. & vb. n. Lanterning.], Cf
LANTHANUM, NL
LANTHOPINE, Gr
LANUGINOSE; LANUGINOUS, L
LANUGO, See Lanuginose
LANYARD, F
LAOCOON; LAOCOOEN, L
LAP, OE
LAP, OE
LAP, OE
LAPAROCELE, Gr
LAPAROTOMY, Gr
LAPEL, Dim
LAPICIDE, L
LAPIDARIOUS, L
LAPIDARY, L
LAPIDARY, L
LAPIDATE, L
LAPIDATION, L
LAPIDEOUS, L
LAPIDESCENT, L
LAPIDIFIC; LAPIDIFICAL, L
LAPIDIFICATION, Cf
La*pid"i*fy, v. t. [imp. & p. p. Lapidified; p. pr. & vb. n., Cf
LAPIDIST, L
LAPILLATION, See Lapilli
LAPILLI, L
LAPIS, L
, NL
Defn: A stone. Lapis calaminaris (. Etym: [NL.] (Min.) Calamine., L
LAPLING, Lap of a garment + ling
LAPPACEOUS, L
LAPPER, From Lap to drink
LAPPET, Dim
LAPSE, L
LAPWING, OE
LAQUEAR, L
LAQUEARY, L
LAR, L
LARBOARD, Lar- is of uncertain origin, possibly the same
LARCENOUS, Cf
LARCENY, F
LARCH, Cf
LARD, F
LARD, F
LARDACEIN, See Lardaceous
LARDACEOUS, Cf
LARDER, OF
LARDERY, Cf
LARDON; LARDOON, F
LARDRY, See Lardery
LARE, See Lore
LARGE, F
LARGESS; LARGESSE, F
LARGET, Cf
LARGHETTO, It
LARGIFICAL, L
LARGIFLUOUS, L
LARGILOQUENT, Cf
LARGITION, L
LARGO, It
LARIAT, Sp
LARK, Perh fr
LARK, OE
LARKER, See 3d Lark, for sense 1, and 1st Lark, for sense
LARMIER, F
LAROID, Larus + -oid
Lar"rup, v. t. [imp. & p. p. Larruped; p. pr. & vb. n. Larruping.], Perh, a corrupt
LARVA, L
LARVAL, L
LARVALIA, NL
LARVATED, L
LARVE, F
LARVIFORM, Larva + -form
LARVIPAROUS, Larva + L
LARY, Cf
LARYNGEAL, From Larynx
LARYNGISMUS, NL
LARYNGITIS, NL
LARYNGOLOGY, Larynx + -logy
LARYNGOPHONY, Larynx + Gr
LARYNGOSCOPE, Larynx + -scope
LARYNGOTOMY, Gr
LARYNGOTRACHEAL, Larynx + tracheal
LARYNGOTRACHEOTOMY, Larynx + tracheotomy
LASCAR, Per
LASCIVIENCY, See Lascivient
LASCIVIENT, L
LASCIVIOUS, L
LASERWORT, L
LASH, OE
LASH, Cf
LASKET, Cf
LASS, OE
LASSITUDE, L
LASSO, Sp
LAST, OE
Savoy felt that the time had at last arrived." Motley., Prob
LAST, See Last, a
LAST, 
LAST, AS
LAST, As
LASTAGE, E
LATAKIA, Turk
LATCH, Cf
LATCH, OE
LATCH, 
LATCHET, OE
LATE, OE
LATE, AS
and adjacent waters, esp. on the northern coast of Africa. See below., F
LATENCY, See Latent
LATENT, L
LATER, L
LATERAD, L
LATERAL, L
LATERIFOLIOUS, L
LATERITE, L
LATERITIOUS, L
LATES, NL
LATESCENT, L
LATEX, L
LATH, OE
LATHE, AS
LATHE, OE
LATHER, AS
Lath"er, v. t. [imp. & p. p. Lathered; p. pr. & vb. n. Lathering.], AS
LATHER, Cf
La*tib"u*lize, v. i. [imp. & p. p. Latibulized (; p. pr. & vb. n., L
LATIBULUM, L
LATICIFEROUS, L
LATICLAVE, L
LATICOSTATE, L
LATIDENTATE, L
LATIFOLIATE; LATIFOLIOUS, L
LATIMER, OF
LATIN, F
LATINISM, Cf
LATINIST, Cf
LATINITASTER, Cf
LATINITY, L
Lat"in*ize, v. t. [imp. & p. p. Latinized; p. pr. & vb. n., L
LATION, L
LATIROSTRAL; LATIROSTROUS, Cf
LATIROSTRES, NL
LATISTERNAL, L
LATITANCY, See Latitant
LATITANT, L
LATITAT, L
LATITATION, L
LATITUDE, F
LATITUDINARIAN, Cf
LATRANT, L
LATRATE, L
LATREUTICAL, Gr
LATRIA, L
LATRINE, L
LATROCINY, L
LATTEN, OE
LATTER, OE
LATTERMATH, Cf
LATTICE, OE
LATUS RECTUM, L
LAUD, L
LAUD, 
LAUDABILITY, L
LAUDABLE, L
LAUDANINE, From Laudanum
LAUDANUM, Orig
LAUDATION, L
LAUDATIVE, L
LAUDATOR, L
LAUDATORY, L
LAUGH, 
LAUGHTER, AS
LAUMONTITE, From Dr
LAUNCE, It
Launch, v. i. [imp. & p. p. Launched; p. pr. & vb. n. Launching.], OE
, Cf
LAUND, See Lawn of grass
LAUNDER, Contracted fr
LAUNDRY, OE
LAURA, LL
LAURACEOUS, From Laurus
LAUREATE, L
LAUREATION, Cf
LAUREL, OE
LAURESTINE, NL
LAURIFEROUS, L
LAURIN, Cf
LAURINOL, Laurin + -ol
LAURITE, Etymol
LAURONE, Lauric + -one
LAURUS, L
LAVA, It
LAVARET, F
LAVATION, L
LAVATORY, L
LAVE, F
LAVE, OE
LAVE, AS
LAVE-EARED, Cf
LAVEER, D
LAVEMENT, F
LAVENDER, OE
LAVER, OE
LAVER, From Lave to wash
LAVEROCK, See Lark the bird
LAVISH, Akin to E
LAVOESIUM, NL
LAVOLT; LAVOLTA, It
LAW, OE
LAW, Cf
LAWE, See 2d Lawing
LAWING, So called because done in compliance with an
LAWN, OE
LAWN, Earlier laune lynen, i
LAWYER, From Law, like bowyer, fr
LAX, L
LAXATION, L
LAXATIVE, L
LAXATOR, NL
LAXIITY, L
LAY, F
LAY, OF
LAY, OF
LAY, OE
LAYER, See Lay to cause to lie flat
, Prob
LAYLAND, Lay a meadow + land
LAYMAN, Lay, adj
LAYNER, See Lanier
LAZAR, OF
LAZARET; LAZARETTO, F
LAZE, See
LAZULI, F
LAZULITE, From lazuli : cf
LAZY, OE
LAZZARONI, It
LEA, Cf
LEA, OE
LEACH, Cf
LEACH, 
LEAD, OE
-- Hand lead, a small lead use for sounding in shallow water., so called from Krems or
LEAD, 
Abbott., a translation of G
LEAF, OE
LEAGUE, Cf
LEAGUE, F
LEAGUE, 
LEAGUER, D
LEAK, Akin to D
LEAK, 
LEAKAGE, Cf
LEAL, OE
LEAM, See Leamer, Lien
LEAMER, F
LEAN, Icel
Lean, v. i. [imp. & p. p. Leaned, sometimes Leant (p. pr. & vb. n., OE
LEAN, From Lean, v
LEAN, OE
LEANNESS, AS
LEAP, AS
Leap, v. i. [imp. & p. p. Leaped, rarely Leapt; p. pr. & vb. n., OE
LEAPER, AS
LEAPER, See 1st Leap
LEAPFUL, See 1st Leap
Learn, v. t. [imp. & p. p. Learned, or Learnt (p. pr. & vb. n., OE
LEARNING, AS
LEASABLE, From 2d Lease
LEASE, AS
LEASE, 
LEASE, Cf
LEASER, From 1st Lease
LEASH, OE
LEASING, AS
LEASOW, AS
LEAST, OE
LEASY, AS
LEAT, Cf
LEATHER, OE
LEATHERET; LEATHERETTE, Leather + et, F
LEAVE, See Levy
LEAVE, OE
LEAVE, OE
LEAVED, From Leaf
LEAVEN, OE
LEAVINESS, Fr
LECANOMANCY, Gr
LECH, F
LECHER, OE
LECHERY, OE
LECITHIN, Gr
LECTICA, L
LECTION, L
LECTIONARY, LL
LECTOR, L
LECTUAL, LL
LECTURE, F
LECTURN, LL
LECYTHIS, NL
LEDEN; LEDDEN, AS
LEDGE, Akin to AS
LEDGER, Akin to D
LEE, F
LEE, OE
LEECH, Cf
LEECH, OE
LEED; LEEDE, Etymol
LEEK, AS
LEER, OE
LEER, OE
LEERE, Etymol
LEESE, See Lose
LEESE, Cf
LEET, Cf
LEET, LL
LEET, Etymol
LEFT, OE
LEG, Icel
LEGACY, L
LEGAL, L
LEGALITY, Cf
Le"gal*ize, v. t. [imp. & p. p. Legalized; p. pr. & vb. n., Cf
LEGATARY, L
LEGATE, OE
LEGATEE, See Legacy
LEGATION, L
LEGATO, It
LEGATOR, L
LEGATURA, It
LEGE, Abbrev
LEGEND, OE
LEGENDARY, Cf
LEGER, See Ledger
LEGER, F
LEGERDEMAIN, F
LEGERITY, F
LEGGE, See Lay, v
LEGGE, Abbrev
LEGGED, From Leg
LEGGIADRO; LEGGIERO, It
LEGGING; LEGGIN, From Leg
LEGIBLE, L
LEGIFIC, L
LEGION, OE
LEGIONARY, L
Leg"is*late, v. i. [imp. & p. p. Legislated; p. pr. & vb. n., See Legislator
LEGISLATION, Cf
LEGISLATIVE, Cf
LEGISLATOR, L
LEGISLATURE, Cf
LEGIST, F
LEGITIM, See Legitimate, a
LEGITIMACY, See Legitimate, a
LEGITIMATE, LL
LEGITIMATION, Cf
LEGITIMIST, Cf
LEGO-LITERARY, See Legal, and Literary
LEGULEIAN, L
LEGUME, F
LEGUMEN, L
LEGUMIN, Cf
LEGUMINOUS, Cf
LEIGER, See Leger, and Ledger
LEIOTRICHI, NL
LEIOTRICHOUS, See Leiotrichi
LEIPOA, NL
LEISURABLE, See Leisure
LEISURE, OE
LEITMOTIF, G
LEMAN, OE
LEME, OE
LEMMA, L
LEMMING, Nor
LEMNIAN, L
LEMNISCATA; LEMNISCATE, L
LEMNISCUS, L
LEMON, F
LEMONADE, F
LEMUR, L
LEMURES, L
LEMURIA, So named from the supposition that it was the
LEMUROID, Lemur + -oid
LEMUROIDEA, NL
LENA, L
LEND, 
LENDS, AS
LENE, See Lend
LENE, L
LENGTH, OE
LENIENT, L
LENIFY, L
LENIMENT, L
LENITIVE, Cf
LENITIVE, Cf
LENITUDE, L
LENITY, L
LENO, Cf
LENOCINANT, L
LENS, L
LENT, OE
LENT, L
LENTAMENTE, It
LENTANDO, It
LENTEN, From OE
LENTICEL, F
LENTICELLE, F
LENTICULA, L
LENTICULAR, L
LENTIFORM, L
LENTIGINOSE, See Lentiginous
LENTIGINOUS, L
LENTIGO, L
LENTIL, F
LENTISCUS; LENTISK, L
LENTITUDE, L
LENTO, It
LENTOID, Lens + -oid
LENTOR, L
LENTOUS, L
L'ENVOI; L'ENVOY, F
LEO, L
LEOD, AS
LEONID, From Leo: cf
LEONINE, L
LEONTODON, Gr
LEOPARD, OE
LEPADITE, L
LEPADOID, Lepas + -oid
LEPAL, Gr
LEPAS, L
LEPER, OE
LEPID, L
LEPIDODENDRON, NL
LEPIDOGANOID, Gr
LEPIDOLITE, Gr
LEPIDOMELANE, Fr
LEPIDOPTER, Cf
LEPIDOPTERA, NL
LEPIDOSAURIA, NL
LEPIDOSIREN, Gr
LEPIDOTE; LEPIDOTED, Gr
LEPISMA, NL
LEPISMOID, Lepisma + -oid
LEPORINE, L
LEPRA, L
LEPROSE, See Leprous
LEPROSY, See Leprous
LEPROUS, OF
LEPTIFORM, Leptus + -form
LEPTOCARDIA, NL
LEPTODACTYL, Gr
LEPTOLOGY, Gr
LEPTOMENINGITIS, NL
LEPTORHINE, Gr
LEPTOSTRACA, NL
LEPTOTHRIX, NL
LEPTOTHRIX, See Leptothrix, n
LEPTUS, NL
LERE, See Lore knowledge
LERE, OE
LERE, AS
LERED, From lere, v
LERNAEA, NL
LERNAEACEA, NL
LERNEAN, See Lernæa
LEROT, F
LESION, F
-LESS, AS
LESS, OE
LESS, AS
LESSEE, F
Less"en, v. t. [imp. & p. p. Lessened; p. pr. & vb. n. Lessening.], From Less, a
LESSER, This word is formed by adding anew the compar
LESSES, F
LESSON, OE
LESSOR, See Lessee, Lease, v
LEST, See List to choose
LEST, OE
-LET, From two French dim
LET, OE
Let, v. t. [imp. & p. p. Let (Letted, [Obs].); p. pr. & vb. n., OE
LETCH, See Lech, Lecher
LETHAL, Lauric + ether + alcohol
LETHAL, L
LETHALITY, Cf
LETHARGIC; LETHARGICAL, L
LETHARGY, F
LETHE, See Lethal
LETHE, L
LETHEAN, L
LETHEON, NL
LETHIFEROUS, L
LETTER, From Let to permit
LETTER, From Let to hinder
LETTER, OE
LETTUCE, OE
LET-UP, See Let to forbear
LEUCADENDRON, NL
LEUCANILINE, Leuc- + aniline
LEUCHAEMIA, NL
LEUCIN, Gr
LEUCITE, Gr
LEUCITOID, Leucite + -oid
LEUCO-; LEUC-, Gr
LEUCOCYTE, Leuco- + Cr
LEUCOCYTHAEMIA; LEUCOCYTHEMIA, NL
LEUCOCYTOGENESIS, Leucocyte + genesis
LEUCOETHIOPIC, Leuco- + Ethiopic
LEUCOETHIOPS, Leuco- + Aethiops
LEUCOLINE, Leuc- + L
LEUCOMA, NL
LEUCOMAINE, Leuco- + -maine, as in ptomaine
LEUCONIC, Leuc- + croconic
LEUCOPATHY, Leuco- + Gr
LEUCOPHANE, Gr
LEUCOPHLEGMACY, Gr
LEUCOPHLEGMATIC, Cf
LEUCOPHYLL, Leuco- + Gr
LEUCOPHYLLOUS, Gr
LEUCOPLAST; LEUCOPLASTID, Leuco- + Gr
LEUCOPYRITE, Leuco- + pyrites
LEUCORRHOEA, Leuco- + Gr
LEUCORYX, NL
LEUCOSCOPE, Leuco- + -scope
LEUCOSOID, NL
LEUCOSPHERE, Leuco- + sphere
LEUCOTURIC, Leuco- + allantoic + uric
LEUCOUS, Gr
LEUCOXENE, Leuco- + Gr
LEVANA, L
LEVANT, F
LEVANT, It
LEVANT, Cf
LEVANTER, From Levant, v
LEVANTER, From Levant, n
LEVANTINE, F
, F
LEVARI FACIAS, Law L
LEVATION, L
LEVATOR, NL
LEVE, OE
LEVE, OE
LEVEE, F
LEVEE, F
LEVEE EN MASSE, F
LEVEFUL, Leve, n
LEVEL, OE
LEVELER, Written also leveller
LEVELING, Written also levelling
LEVEN, See Levin
LEVER, Old compar
LEVER, OE
LEVERET, F
LEVEROCK, See Lark
LEVESEL, AS
LEVET, Cf
LEVIABLE, From Levy to assess
LEVIATHAN, Heb
LEVIGABLE, See Levigate, v
LEVIGATE, L
Lev"i*gate, v. t. [imp. & p. p. Levigated; p. pr. & vb. n., L
LEVIGATE, L
LEVIGATION, L
LEVIN, Etymol
LEVIR, L
LEVIRATE; LEVIRATICAL, L
LEVIROSTRES, NL
LEVITATE, L
LEVITATION, L
LEVITE, L
LEVITICAL, L
LEVITICUS, See Levitical
LEVITY, L
LEVOGYRATE, Levo- + gyrate
LEVOROTATORY, Levo- + rotatory
LEVULOSE, See Levo-
LEVY, A contr
LEVY, F
judgments, or on warrants for the collection of taxes; a collecting, F
LEVYNE; LEVYNITE, From Mr
LEW, Cf
LEWD, OE
LEX, L
LEXICOGRAPHER, Gr
LEXICOGRAPHIC; LEXICOGRAPHICAL, Cf
LEXICOGRAPHY, Cf
LEXICOLOGY, Gr
LEXICON, Gr
LEXIGRAPHIC, Cf
LEXIGRAPHY, Gr
LEXIPHANIC, Gr
LEY, OF
LEZE MAJESTY, F
LHERZOLITE, From Lherz, a place in the Pyrenees + -lite
LIABLE, From F
LIAGE, Cf
LIAISON, F
LIANE; LIANA, F
LIAR, OE
LIARD, OF
LIARD, F
LIAS, Cf
LIB, Cf
LIBAMENT, L
LIBANT, L
LIBATION, L
LIBBARD, See Leopard
LIBEL, L
LI BELLA, L
LIBELLULOID, NL
LIBER, L
LIBERAL, F
LIBERALISM, Cf
LIBERALITY, L
Lib"er*al*ize, v. i. [imp. & p. p. Liberalized; p. pr. & vb. n., Cf
Lib"er*ate, v. t. [imp. & p. p. Liberated; p. pr. & vb. n., L
LIBERATION, L
LIBERATOR, L
LIBERTARIAN, See Liberty
LIBERTICIDE, L
LIBERTINAGE, Cf
LIBERTINE, L
LIBERTINE, L
LIBERTY, OE
LIBETHENITE, From Libethen, in Hungary, where it was
LIBIDINIST, See Libidinous
LIBIDINOUS, L
LIBKEN; LIBKIN, AS
LIBRA, L
LIBRAL, L
LIBRARIAN, See Library
LIBRARY, OE
Li"brate, v. i. [imp. & p. p. Librated p. pr. & & vb. n. Librating.], L
LIBRATION, L
LIBRETTO, It
LIBRIFORM, Liber + -form
LICENSE, F
LICENTIATE, LL
LICENTIOUS, L
LICH, AS
LICHEN, L
LICHENOGRAPHIC; LICHENOGRAPHICAL, Cf
LICHENOGRAPHY, Lichen + -graphy: cf
LICHENOLOGY, Lichen + -logy
LICIT, L
LICITATION, L
LICK, 
LICK, See Lick, v
LICK, Cf
LICKER, Cf
LICKERISH, Cf
LICORICE, OE
LICTOR, L
LID, AS
LIE, AS
LIE, OE
Lie, v. i. [imp. Lay; p. p. Lain, (Lien (, [Obs.]); p. pr. & vb. n., OE
LIEBERKUHN; LIEBERKUEHN, Named after a German physician and instrument
LIEBERKUHN'S GLANDS; LIEBERKUEHN'S GLANDS, See Lieberkühn
LIED, G
LIEDERTAFEL, G
LIEF, OE
LIEGE, OE
acknowledged an obligation of fealty and services., L
LIEGER, See Leger, Ledger
LIEN, F
LIENAL, L
LIENCULUS, NL
LIENO-INTESTINAL, l
LIENTERIC, L
LIENTERY, Gr
LIER, From Lie
LIERNE RIB, F
LIEU, F
LIEUTENANT, F
LIF, Written also lief
LIFE, AS
LIFELIKE, Cf
LIFELONG, Life + long
LIFELY, Cf
LIFT, AS
LIFT, 
, Perh
, See Lift, v
LIG, See Lie to be prostrate
LIGAMENT, L
LIGAMENTAL; LIGAMENTOUS, Cf
LIGAN, Cf
LIGATE, L
LIGATION, L
LIGATOR, See Ligate
LIGATURE, L
LIGEANCE, OF
LIGHT, OE
LIGHT, AS
Light, v. t. [imp. & p. p. Lighted or Lit (p. pr. & vb. n. Lighting.], AS
LIGHT, OE
LIGHT, See Light not heavy, and cf
Light, v. i. [imp. & p. p. Lighted or Lit (p. pr. & vb. n. Lighting.], AS
LIGHTEN, See Light to alight
Light"en, v. i. [imp. & p. p. Lightened; p. pr. & vb. n. Lightening.], OE
LIGHTEN, See Light to illuminate
LIGHTEN, See Light not heavy
LIGHTER, D
LIGHTNESS, From Light not heavy
LIGHTNESS, From Light bright
LIGHTNING, For lightening, fr
LIGHTS, So called from their lightness
LIGN-ALOES, OE
LIGNEOUS, L
LIGNIFEROUS, L
LIGNIFICATION, Cf
LIGNIFORM, L
Lig"ni*fy, v. t. [imp. & p. p. Lignified; p. pr. & vb. n., L
LIGNIN, L
LIGNIPERDOUS, L
LIGNITE, L
LIGNITIFEROUS, Lignite + -ferous
LIGNOCERIC, L
LIGNOSE; LIGNOUS, L
LIGNUM RHODIUM, NL
LIGNUM-VITAE, L
LIGSAM, Cf
LIGULA, L
LIGULATE; LIGULATED, Cf
LIGULE, L
LIGULIFLOROUS, Ligule + L
LIGURE, L
LIKE, OE
LIKE, AS
LIKE, OE
LIKELIHOOD, Likely + -hood
LIKELY, That is,
LIKEN, 
LIKENESS, AS
LIKEWISE, See Wise, n
LILAC, Sp
LILIACEOUS, L
LILT, Cf
LILY, AS
LIM, See Limb
LIMACEOUS, L
LIMACINA, NL
LIMACON, F
LIMAILLE, F
LIMAN, F
LIMATION, L
LIMATURE, L
LIMAX, L
LIMB, OE
LIMB, L
LIMBAT, Etymol
LIMBATE, L
LIMBEC, Abbrev
LIMBER, For limmer, Icel
LIMBER, Akin to lim, a
LIMBMEAL, See Limb, and Piecemeal
LIMBO; LIMBUS, L
, 
LIMBOUS, See Limbus
LIME, See Leam a string
LIME, Formerly line, for earlier lind
LIME, F
